episode,timestep,reward
2,2000,-35.525
4,4000,-39.9167
7,6000,-44.1444
9,8000,-38.6417
12,10000,59.3
14,12000,-31.75
17,14000,-41.0611
19,16000,-38.225
22,18000,-39.0667
24,20000,-49.7583
27,22000,-51.7722
29,24000,-48.8333
32,26000,-32.8778
34,28000,-40.3833
37,30000,-5.8278
39,32000,-36.5333
42,34000,-25.8833
44,36000,-39.6583
47,38000,200.8833
49,40000,-55.3333
52,42000,64.5333
54,44000,-39.575
57,46000,-41.6333
59,48000,108.9917
62,50000,-35.5
64,52000,-36.2333
67,54000,-35.0333
69,56000,-33.05
72,58000,-28.2167
74,60000,137.925
77,62000,-41.6722
79,64000,-39.9667
82,66000,-24.8056
84,68000,-39.1333
87,70000,94.65
89,72000,127.7167
92,74000,-33.1778
94,76000,-45.1333
97,78000,-30.6167
99,80000,-15.15
102,82000,75.6278
104,84000,-48.7083
107,86000,10.9111
109,88000,-25.7667
112,90000,-31.0333
114,92000,-48.4
117,94000,60.9944
119,96000,-28.7167
122,98000,-48.05
124,100000,114.675
127,102000,-35.4222
129,104000,-50.9
132,106000,54.0167
134,108000,-42.7
137,110000,84.8278
139,112000,-32.4833
142,114000,-35.9667
144,116000,-41.75
147,118000,-53.8111
149,120000,103.075
152,122000,-41.7444
154,124000,-42.0167
157,126000,51.15
159,128000,-46.9833
162,130000,68.2944
164,132000,-38.2667
167,134000,191.4889
169,136000,-39.65
172,138000,-35.6389
174,140000,-39.4
177,142000,-42.7722
179,144000,-40.6167
182,146000,-48.1667
184,148000,-32.4333
187,150000,-38.9611
189,152000,-27.725
192,154000,-38.1222
194,156000,-43.6167
197,158000,-35.7444
199,160000,-43.7917
202,162000,-29.8222
204,164000,-44.5333
207,166000,-27.2556
209,168000,-21.7667
212,170000,-24.4889
214,172000,-43.2917
217,174000,-26.3
219,176000,-25.4083
222,178000,82.0833
224,180000,123.1417
227,182000,-28.9389
229,184000,-33.6
232,186000,266.3611
234,188000,-36.4333
237,190000,-25.4
239,192000,117.8583
242,194000,-35.5222
244,196000,202.35
247,198000,-50.8333
