episode,timestep,reward
2,2000,-59.3167
4,4000,-59.725
7,6000,-60.6056
9,8000,-64.0417
12,10000,-58.65
14,12000,-58.45
17,14000,-58.7778
19,16000,17.025
22,18000,-55.7667
24,20000,-56.9667
27,22000,-58.6278
29,24000,-55.1
32,26000,-55.9833
34,28000,-51.275
37,30000,-14.8778
39,32000,-48.2167
42,34000,66.0111
44,36000,-53.5167
47,38000,50.8278
49,40000,-50.275
52,42000,-52.3
54,44000,-55.8917
57,46000,44.6944
59,48000,-50.6083
62,50000,-52.1556
64,52000,-53.1583
67,54000,-49.4944
69,56000,-56.7167
72,58000,57.75
74,60000,-43.8333
77,62000,-46.7056
79,64000,-52.4
82,66000,-48.3556
84,68000,-49.5083
87,70000,-47.0778
89,72000,-54.7
92,74000,-40.5778
94,76000,-45.05
97,78000,-45.2111
99,80000,-48.7917
102,82000,-48.05
104,84000,-43.6833
107,86000,-41.5222
109,88000,-39.325
112,90000,-38.9111
114,92000,-36.9667
117,94000,-37.9389
119,96000,-32.375
122,98000,78.4111
124,100000,-38.9417
127,102000,-45.0111
129,104000,-39.6583
132,106000,-37.3444
134,108000,-40.7917
137,110000,70.6556
139,112000,-40.0417
142,114000,-34.4389
144,116000,-37.4333
147,118000,-38.05
149,120000,-35.625
152,122000,69.3278
154,124000,-37.3417
157,126000,177.5222
159,128000,122.8
162,130000,-48.4667
164,132000,-44.5417
167,134000,85.4833
169,136000,96.2583
172,138000,51.65
174,140000,116.3417
177,142000,-49.0944
179,144000,-40.0833
182,146000,50.6167
184,148000,-43.2667
187,150000,80.9889
189,152000,115.575
192,154000,64.1056
194,156000,-45.9167
197,158000,70.6889
199,160000,-52.7917
