episode,timestep,reward
2,2000,-31.175
4,4000,-40.05
7,6000,-36.1556
9,8000,-32.1917
12,10000,-45.55
14,12000,-32.2333
17,14000,-34.9944
19,16000,123.6083
22,18000,3.6722
24,20000,144.3083
27,22000,-34.3
29,24000,-38.3417
32,26000,-37.7167
34,28000,114.6
37,30000,-39.6611
39,32000,-49.6583
42,34000,-43.2389
44,36000,-42.1833
47,38000,-42.9833
49,40000,-34.0583
52,42000,70.8056
54,44000,127.3917
57,46000,-41.7889
59,48000,-46.6083
62,50000,-44.0222
64,52000,-41.2583
67,54000,66.7667
69,56000,-40.2333
72,58000,-29.35
74,60000,-45.3917
77,62000,-29.1889
79,64000,-32.2
82,66000,66.2
84,68000,-33.1833
87,70000,-35.1056
89,72000,-36.4417
92,74000,-36.8556
94,76000,-30.6583
97,78000,-35.55
99,80000,-36.2
102,82000,-36.5722
104,84000,-38.2917
107,86000,-32.7778
109,88000,-29.3917
112,90000,-34.6278
114,92000,-30.2667
117,94000,63.9556
119,96000,129.5
122,98000,73.9167
124,100000,-41.0583
127,102000,-39.2667
129,104000,123.2417
132,106000,-33.1444
134,108000,298.125
137,110000,-39.7722
139,112000,-40.9583
142,114000,80.5056
144,116000,-37.4
147,118000,-47.7389
149,120000,-45.15
152,122000,-46.8389
154,124000,-32.95
157,126000,78.8556
159,128000,128.9833
162,130000,-48.5278
164,132000,125.0583
167,134000,-36.6444
169,136000,-45.3083
