episode,timestep,reward
2,6000,170.1652
5,12000,-433.5164
7,18000,106.5521
10,24000,161.3963
12,30000,-50.4911
15,36000,-72.8442
17,42000,-264.34
20,48000,-231.8601
22,54000,161.0424
25,60000,185.4053
27,66000,-429.4531
30,72000,28.9509
32,78000,213.4933
35,84000,-262.2495
37,90000,54.3728
40,96000,35.7292
