episode,timestep,reward
1,2000,-136.72
3,4000,-183.76
5,6000,-28.69
7,8000,-140.54
9,10000,-196.36
11,12000,-34.0
13,14000,-5.7
15,16000,-15.175
17,18000,-69.41
19,20000,-14.58
21,22000,83.02
23,24000,-147.275
25,26000,-198.195
27,28000,80.355
29,30000,102.945
31,32000,-115.43
33,34000,-228.53
35,36000,-267.335
37,38000,-102.705
39,40000,41.585
41,42000,-19.92
43,44000,-248.76
45,46000,-221.11
47,48000,-56.845
49,50000,108.405
51,52000,-146.625
53,54000,-37.34
55,56000,-3.52
57,58000,-84.125
59,60000,94.505
61,62000,-16.595
63,64000,123.485
65,66000,33.58
67,68000,-97.685
69,70000,-0.74
71,72000,-163.025
73,74000,-7.63
75,76000,-70.85
77,78000,106.035
79,80000,-216.045
81,82000,37.86
83,84000,-100.845
85,86000,-198.975
87,88000,-218.93
89,90000,-144.895
91,92000,-233.22
93,94000,-132.215
95,96000,-94.965
97,98000,-10.025
99,100000,5.49
101,102000,-164.24
103,104000,-65.88
