episode,timestep,reward
1,2000,-120.35
3,4000,74.855
5,6000,83.87
7,8000,-121.66
9,10000,43.88
11,12000,-152.235
13,14000,-155.605
15,16000,112.86
17,18000,-33.26
19,20000,-30.67
21,22000,-63.48
23,24000,-206.01
25,26000,-88.11
27,28000,97.64
29,30000,-43.735
31,32000,-230.855
33,34000,-22.84
35,36000,14.635
37,38000,-8.01
39,40000,13.0
41,42000,60.09
43,44000,-144.375
45,46000,-24.53
47,48000,-43.44
49,50000,-74.045
51,52000,-59.76
53,54000,-13.745
55,56000,5.475
57,58000,-102.595
59,60000,173.165
61,62000,-13.14
63,64000,-63.93
65,66000,-116.44
67,68000,71.685
69,70000,-93.69
71,72000,-96.485
73,74000,-1.99
75,76000,99.63
77,78000,69.03
79,80000,-48.37
81,82000,-130.405
83,84000,-33.22
85,86000,2.325
87,88000,2.41
89,90000,105.945
91,92000,110.525
93,94000,53.87
95,96000,-52.32
97,98000,-7.46
99,100000,77.49
101,102000,119.565
103,104000,42.96
105,106000,170.205
107,108000,-13.75
109,110000,-12.505
111,112000,9.13
113,114000,59.94
115,116000,9.145
117,118000,142.91
119,120000,12.01
121,122000,97.505
123,124000,166.755
125,126000,42.335
127,128000,68.245
129,130000,-0.38
131,132000,-11.57
133,134000,-32.615
135,136000,-81.31
137,138000,41.83
139,140000,-14.575
141,142000,-15.39
143,144000,-27.915
145,146000,107.98
147,148000,34.155
149,150000,73.375
151,152000,217.6
153,154000,54.605
155,156000,-58.785
157,158000,114.67
159,160000,37.445
161,162000,-60.195
163,164000,-137.49
165,166000,-84.21
167,168000,-25.36
169,170000,41.52
171,172000,-48.14
173,174000,-19.74
175,176000,-21.785
177,178000,80.535
179,180000,-100.18
181,182000,-42.21
183,184000,-13.975
185,186000,60.51
187,188000,-117.39
189,190000,3.26
191,192000,-112.795
193,194000,-174.73
195,196000,-43.445
197,198000,92.0
