episode,timestep,reward
2,2000,22.2333
4,4000,-114.9333
7,6000,-115.1
9,8000,16.1167
12,10000,-34.9333
14,12000,-132.8
17,14000,-28.5667
19,16000,-107.7667
22,18000,-7.9222
24,20000,-119.3
27,22000,-18.7
29,24000,-112.95
32,26000,-41.4889
34,28000,-110.7667
37,30000,-120.2667
39,32000,-116.8
42,34000,-107.2
44,36000,-112.6333
47,38000,-113.6556
49,40000,21.9167
52,42000,-112.4667
54,44000,1.4667
57,46000,-92.8889
59,48000,-116.1667
62,50000,-104.3222
64,52000,-114.5667
67,54000,-56.5
69,56000,-97.9833
72,58000,-112.5444
74,60000,-120.15
77,62000,-99.3667
79,64000,-119.0167
82,66000,-99.8889
84,68000,-111.0167
87,70000,5.7667
89,72000,-111.7
92,74000,-6.9
94,76000,-117.2167
97,78000,-40.3889
99,80000,19.0667
102,82000,-29.2778
104,84000,-96.85
107,86000,-18.5889
109,88000,-110.6833
112,90000,-36.3556
114,92000,33.9833
117,94000,-33.7778
119,96000,7.4667
122,98000,-97.4778
124,100000,37.05
