episode,timestep,reward
2,2000,-112.15
4,4000,-117.8833
7,6000,-11.0222
9,8000,35.65
12,10000,74.6889
14,12000,-118.4333
17,14000,-23.7444
19,16000,-50.2
22,18000,-11.6111
24,20000,-95.8
27,22000,-126.0667
29,24000,23.2333
32,26000,-29.2556
34,28000,-112.8667
37,30000,-22.0333
39,32000,-102.95
42,34000,-103.9889
44,36000,13.45
47,38000,-118.7222
49,40000,-106.3167
52,42000,-96.8556
54,44000,-118.3833
57,46000,-25.3778
59,48000,52.7333
62,50000,-8.1889
64,52000,32.9667
67,54000,62.5778
69,56000,-123.4167
72,58000,-6.9889
74,60000,-99.8833
77,62000,-21.0778
79,64000,-103.3333
82,66000,-113.0111
84,68000,-3.95
87,70000,-98.7333
89,72000,-90.4
92,74000,-25.7556
94,76000,23.8167
97,78000,-103.4556
99,80000,-107.4167
102,82000,48.3889
104,84000,180.5333
107,86000,-104.2111
109,88000,-92.4333
112,90000,-119.5333
