episode,timestep,reward
4,4000,-317.2
9,8000,-339.52
14,12000,-330.64
19,16000,-319.84
24,20000,-328.96
29,24000,-338.08
34,28000,-316.24
39,32000,-339.76
44,36000,-323.68
49,40000,-325.6
54,44000,-327.28
59,48000,-321.04
64,52000,-328.24
69,56000,-342.16
74,60000,-326.32
79,64000,-302.56
84,68000,-341.2
89,72000,-324.4
94,76000,-323.92
99,80000,-313.84
104,84000,-345.76
109,88000,-333.76
114,92000,-330.16
119,96000,-298.48
124,100000,-351.04
129,104000,-340.72
134,108000,-334.48
139,112000,-327.76
