episode,timestep,reward
4,4000,-325.0
9,8000,-297.04
14,12000,-342.16
19,16000,-338.56
24,20000,-336.88
29,24000,-307.6
34,28000,-326.08
39,32000,-346.24
44,36000,-326.32
49,40000,-334.24
54,44000,-319.36
59,48000,-345.76
64,52000,-318.88
69,56000,-332.08
74,60000,-342.4
79,64000,-314.08
84,68000,-341.44
89,72000,-330.4
94,76000,-318.4
99,80000,-323.92
104,84000,-336.16
109,88000,-326.56
114,92000,-303.76
119,96000,-328.48
124,100000,-337.12
129,104000,-344.32
134,108000,-315.52
139,112000,-329.68
144,116000,-311.92
149,120000,-323.2
154,124000,-321.52
159,128000,-315.28
164,132000,-334.48
169,136000,-316.72
174,140000,-338.32
179,144000,-325.84
184,148000,-346.72
189,152000,-328.48
194,156000,-342.64
