episode,timestep,reward
2,2000,54.9667
4,4000,67.5667
7,6000,-15.7556
9,8000,54.8167
12,10000,-13.3
14,12000,-120.1333
17,14000,-8.6778
19,16000,63.3
22,18000,-117.9222
24,20000,-116.75
27,22000,-114.9667
29,24000,-68.0
32,26000,-44.0222
34,28000,-111.55
37,30000,-8.9444
39,32000,-108.45
42,34000,-107.5667
44,36000,-125.6167
47,38000,10.1889
49,40000,-112.5
52,42000,-1.0889
54,44000,24.4833
57,46000,113.8556
59,48000,-125.9
62,50000,11.5889
64,52000,-115.1667
67,54000,201.5222
69,56000,-121.7667
72,58000,104.9778
74,60000,-116.2167
77,62000,-120.5889
79,64000,48.7833
82,66000,-122.8444
84,68000,-120.2167
87,70000,-121.6778
89,72000,-64.6667
92,74000,96.6333
94,76000,-106.7333
97,78000,-127.1889
99,80000,-112.35
102,82000,-110.6222
104,84000,64.9167
107,86000,-109.6444
109,88000,51.2
112,90000,20.2111
114,92000,47.9
117,94000,-117.0556
119,96000,-115.55
122,98000,-111.8889
124,100000,180.3333
127,102000,-116.5333
129,104000,-97.6
132,106000,-88.2778
134,108000,63.5667
137,110000,-103.5444
139,112000,-117.8
142,114000,-101.2778
144,116000,220.85
147,118000,-7.9444
149,120000,-111.55
152,122000,-110.0111
154,124000,-108.1167
157,126000,-6.6778
159,128000,200.9
162,130000,-9.7111
