episode,timestep,reward
2,2000,-127.3667
4,4000,-129.3
7,6000,-126.8333
9,8000,-128.7333
12,10000,-17.4778
14,12000,-118.4833
17,14000,-114.8222
19,16000,34.2167
22,18000,-123.8222
24,20000,39.7833
27,22000,-119.9
29,24000,-128.5167
32,26000,-121.3778
34,28000,-120.8667
37,30000,-115.7889
39,32000,-112.7333
42,34000,-116.9
44,36000,-114.5
47,38000,30.2556
49,40000,-114.0167
52,42000,-115.4333
54,44000,-125.9833
57,46000,97.1333
59,48000,-119.4333
62,50000,-115.8778
64,52000,190.5667
67,54000,-112.3333
69,56000,-112.2167
72,58000,-117.9222
74,60000,-111.4167
77,62000,-108.7
79,64000,-100.3667
82,66000,-6.3889
84,68000,55.6667
87,70000,108.4111
89,72000,-109.7833
92,74000,-119.3333
94,76000,-110.4333
97,78000,11.0778
99,80000,-116.0
102,82000,-53.3111
104,84000,-114.1333
107,86000,16.8889
109,88000,-105.0833
112,90000,117.0111
114,92000,-116.6833
117,94000,-106.2333
119,96000,-105.55
122,98000,218.5778
124,100000,-109.2333
127,102000,-3.6444
129,104000,-114.4167
132,106000,-1.4222
134,108000,-121.85
137,110000,0.2778
139,112000,68.8167
142,114000,-3.5333
144,116000,-113.4833
147,118000,-113.0222
149,120000,-61.0833
152,122000,-115.4333
154,124000,-113.9667
157,126000,-2.8889
159,128000,209.0667
162,130000,-8.1333
164,132000,-113.1
167,134000,-5.1111
169,136000,-118.7667
172,138000,-1.1556
174,140000,-38.2833
177,142000,-2.1222
180,144000,-84.7111
182,146000,-133.4833
185,148000,-31.2111
187,150000,-122.4833
190,152000,105.9889
192,154000,-120.7
195,156000,-22.1556
197,158000,-132.15
200,160000,-129.3333
202,162000,44.25
205,164000,-125.1111
