episode,timestep,reward
2,2000,-28.2833
4,4000,-145.0833
7,6000,-144.0333
9,8000,-143.0
12,10000,-56.3556
14,12000,-137.3167
17,14000,-59.5444
19,16000,-138.4833
22,18000,-139.7889
24,20000,-139.4
27,22000,-136.0
29,24000,-129.05
32,26000,-131.0444
34,28000,-129.6
37,30000,-130.8111
39,32000,-131.25
42,34000,-128.8778
44,36000,-127.4167
47,38000,-39.2333
49,40000,-121.5667
52,42000,-122.6222
54,44000,-117.6
57,46000,-31.9333
59,48000,-111.5
62,50000,-31.2111
64,52000,-117.25
67,54000,-116.8889
69,56000,-123.75
72,58000,-38.9444
74,60000,4.9
77,62000,-120.6
79,64000,-123.5333
82,66000,-120.5111
84,68000,-120.95
87,70000,-110.1667
89,72000,-121.5833
92,74000,-21.0778
94,76000,-108.1833
97,78000,-119.0333
99,80000,-118.95
102,82000,-114.1778
104,84000,-118.8333
107,86000,-121.8222
109,88000,-105.3833
112,90000,-116.0889
114,92000,-115.6333
117,94000,-49.9111
119,96000,-112.5167
122,98000,-115.6333
124,100000,-119.7167
127,102000,-109.2
129,104000,-106.2333
132,106000,-10.9444
134,108000,-110.8
137,110000,-24.8444
139,112000,-109.2833
142,114000,-112.1889
144,116000,132.5
147,118000,-26.2889
149,120000,-116.3833
152,122000,-22.5667
154,124000,-115.85
157,126000,-115.9667
159,128000,-118.45
162,130000,-115.8222
164,132000,-112.4333
167,134000,-118.3444
169,136000,-111.9167
172,138000,-115.5778
174,140000,-105.5167
177,142000,-44.9444
179,144000,-111.9667
182,146000,-102.3444
184,148000,-103.4167
187,150000,-105.6667
189,152000,21.25
192,154000,-18.3778
194,156000,-111.2833
197,158000,-39.6444
199,160000,-123.5
202,162000,-23.1778
204,164000,-103.05
207,166000,-122.1889
209,168000,-123.8833
212,170000,-114.7778
214,172000,-120.9667
217,174000,-111.3333
219,176000,15.95
222,178000,-103.6889
224,180000,-121.7167
227,182000,-107.9778
229,184000,-114.1
232,186000,-20.7889
234,188000,-105.15
237,190000,-39.3667
239,192000,22.6833
242,194000,-119.4444
244,196000,-111.7333
247,198000,-121.9556
