episode,timestep,reward
2,2000,17.85
4,4000,4.2167
7,6000,-131.2667
9,8000,-84.3833
12,10000,-25.6889
14,12000,28.2
17,14000,-32.8333
19,16000,-124.9167
22,18000,-128.2556
24,20000,7.5333
27,22000,-132.1556
29,24000,-10.0833
32,26000,-135.5222
34,28000,12.1333
37,30000,-31.2
39,32000,95.5833
42,34000,-118.8444
44,36000,-126.55
47,38000,-117.2111
49,40000,-126.4
52,42000,-119.0778
54,44000,-123.1333
57,46000,-94.4444
59,48000,9.2
62,50000,-32.1111
64,52000,6.5667
67,54000,-18.9
69,56000,-121.4333
72,58000,-29.8889
74,60000,-114.45
77,62000,-84.6222
79,64000,4.9833
82,66000,-14.1333
84,68000,-128.3667
87,70000,-30.3
89,72000,-40.6333
92,74000,-122.2667
94,76000,-110.0333
97,78000,-122.4
99,80000,-108.4
102,82000,-124.2444
104,84000,4.0
107,86000,-111.1556
109,88000,11.1167
112,90000,-122.6333
114,92000,-126.2667
117,94000,-24.8778
119,96000,-104.65
122,98000,-121.6778
124,100000,-108.0
127,102000,-109.0889
129,104000,-119.3
132,106000,-24.5
134,108000,-114.4833
137,110000,77.8889
139,112000,-113.6
142,114000,-42.3667
144,116000,-123.6833
147,118000,-119.3
149,120000,-9.25
