episode,timestep,reward
2,2000,16.2
4,4000,5.1333
7,6000,-125.7333
9,8000,8.3
12,10000,-37.9556
14,12000,5.1
17,14000,70.2111
19,16000,-125.6667
22,18000,-115.5222
24,20000,12.1167
27,22000,-122.4556
29,24000,30.3667
32,26000,-27.2889
34,28000,-116.0
37,30000,-39.9667
39,32000,-133.9333
42,34000,-127.1
44,36000,-118.8833
47,38000,-121.1889
49,40000,-26.5333
52,42000,-20.9222
54,44000,-124.5333
57,46000,-119.5889
59,48000,-7.9333
62,50000,-82.2
64,52000,-114.95
67,54000,-124.6
69,56000,-121.5
72,58000,-105.2667
74,60000,-104.3833
77,62000,-114.8444
79,64000,8.5667
