episode,timestep,reward
4,4000,-336.4
9,8000,-331.84
14,12000,-323.92
19,16000,-314.32
24,20000,-327.04
29,24000,-317.92
34,28000,-328.0
39,32000,-317.92
44,36000,-318.4
49,40000,-313.36
54,44000,-318.16
59,48000,-311.2
64,52000,-310.24
69,56000,-322.24
74,60000,-311.68
79,64000,-308.8
84,68000,-328.72
89,72000,-301.6
94,76000,-316.96
99,80000,-313.12
104,84000,-328.96
109,88000,-328.0
114,92000,-301.84
119,96000,-329.44
124,100000,-301.36
129,104000,-318.64
135,108000,-320.0333
140,112000,-308.8
145,116000,-321.04
150,120000,-310.96
155,124000,-313.36
160,128000,-309.52
165,132000,-327.76
170,136000,-332.8
175,140000,-332.08
180,144000,-310.96
185,148000,-310.72
190,152000,-323.92
195,156000,-320.8
