episode,timestep,reward
1,1000,-130.36
3,2000,-45.935
5,3000,-29.35
7,4000,-141.205
9,5000,51.275
11,6000,-88.055
13,7000,-10.665
15,8000,31.935
17,9000,-92.08
19,10000,-33.575
21,11000,-35.29
23,12000,-62.43
25,13000,-35.48
27,14000,-138.585
29,15000,90.165
31,16000,36.03
33,17000,43.955
35,18000,-38.655
37,19000,7.595
39,20000,-50.295
41,21000,-26.885
43,22000,-103.525
45,23000,20.945
47,24000,-16.11
49,25000,-11.28
51,26000,-32.33
53,27000,-67.695
55,28000,-15.175
57,29000,53.36
59,30000,-14.48
61,31000,-53.8
63,32000,-52.765
65,33000,-49.39
67,34000,-86.835
69,35000,41.875
71,36000,-43.1
73,37000,37.46
75,38000,-18.665
77,39000,113.065
79,40000,-10.52
81,41000,33.315
83,42000,122.955
85,43000,125.915
87,44000,58.315
89,45000,21.24
91,46000,7.305
93,47000,-3.765
95,48000,41.76
97,49000,-47.53
99,50000,14.55
101,51000,-140.445
103,52000,53.505
105,53000,74.26
107,54000,97.845
109,55000,81.455
111,56000,100.28
113,57000,81.835
115,58000,68.445
117,59000,-30.775
119,60000,2.33
121,61000,174.355
123,62000,-99.775
125,63000,27.89
127,64000,-11.975
129,65000,76.19
131,66000,103.98
133,67000,-6.665
135,68000,-50.605
137,69000,88.805
139,70000,75.28
141,71000,35.12
143,72000,78.675
145,73000,-40.41
147,74000,95.315
149,75000,-13.965
151,76000,9.085
153,77000,35.7
155,78000,-79.485
157,79000,31.93
159,80000,-117.185
161,81000,150.08
163,82000,-65.0
165,83000,20.79
167,84000,19.75
169,85000,-52.78
171,86000,-27.77
173,87000,-7.835
175,88000,25.215
177,89000,-23.335
179,90000,-73.715
181,91000,45.83
183,92000,57.635
185,93000,12.84
187,94000,40.26
189,95000,-42.83
191,96000,62.375
193,97000,13.09
195,98000,76.915
197,99000,-71.715
199,100000,-90.14
201,101000,-117.32
203,102000,72.09
205,103000,-122.31
207,104000,-74.13
209,105000,-86.61
211,106000,-27.7
213,107000,-55.49
215,108000,33.765
217,109000,2.19
219,110000,-89.045
221,111000,6.47
223,112000,-72.73
225,113000,-28.605
227,114000,-56.38
229,115000,14.795
231,116000,23.935
233,117000,121.045
235,118000,16.035
237,119000,-35.235
239,120000,-22.22
241,121000,-66.52
243,122000,122.315
245,123000,-119.965
247,124000,104.615
249,125000,-51.745
251,126000,-96.835
253,127000,-46.815
255,128000,-11.295
257,129000,10.29
259,130000,-107.265
261,131000,1.375
263,132000,44.535
265,133000,-51.665
267,134000,-25.075
269,135000,58.105
271,136000,74.445
273,137000,-20.56
275,138000,-97.33
277,139000,115.925
279,140000,-54.225
281,141000,-25.325
283,142000,-154.405
285,143000,-15.685
287,144000,-42.295
289,145000,84.945
291,146000,-43.395
293,147000,-14.395
295,148000,-72.94
297,149000,0.56
299,150000,-7.725
301,151000,-38.955
303,152000,-18.395
305,153000,-44.24
307,154000,-79.915
309,155000,-56.745
311,156000,11.585
313,157000,51.215
315,158000,43.15
317,159000,20.4
319,160000,-40.29
321,161000,42.89
323,162000,-13.65
325,163000,-41.67
327,164000,94.195
329,165000,118.255
331,166000,-0.595
333,167000,-24.655
335,168000,-37.72
337,169000,39.18
