episode,reward,total_reward
1,-1124.4,-1124.3999999999971
2,-962.4,-800.3999999999849
3,-944.8,-909.599999999989
4,-1003.2,-1178.3999999999992
5,-1000.3,-988.799999999992
6,-1031.4,-1186.7999999999995
7,-1042.8,-1111.1999999999966
8,-1049.4,-1095.599999999996
9,-1053.5,-1085.9999999999957
10,-1036.4,-883.199999999988
11,-1041.8,-1095.599999999996
12,-1034.3,-951.5999999999906
13,-1028.0,-952.7999999999906
14,-1028.1,-1028.3999999999935
15,-1038.3,-1181.9999999999993
16,-1031.8,-933.5999999999899
17,-1038.0,-1137.5999999999976
18,-1044.1,-1147.199999999998
19,-1050.1,-1157.9999999999984
20,-1049.4,-1036.7999999999938
21,-1054.2,-1150.7999999999981
22,-1058.2,-1141.1999999999978
23,-1058.4,-1063.1999999999948
24,-1061.9,-1143.5999999999979
25,-1061.6,-1053.5999999999945
26,-1059.4,-1003.1999999999925
27,-1058.4,-1031.9999999999936
28,-1061.2,-1138.7999999999977
29,-1063.9,-1137.5999999999976
30,-1064.3,-1076.3999999999953
31,-1061.9,-991.1999999999921
32,-1062.3,-1075.1999999999953
33,-1064.2,-1124.3999999999971
34,-1061.3,-963.599999999991
35,-1060.3,-1028.3999999999935
36,-1062.3,-1132.7999999999975
37,-1064.3,-1136.3999999999976
38,-1067.0,-1163.9999999999986
39,-1063.6,-937.19999999999
40,-1065.8,-1151.9999999999982
41,-1065.8,-1065.599999999995
42,-1067.3,-1129.1999999999973
43,-1069.9,-1177.1999999999991
44,-1069.6,-1058.3999999999946
45,-1071.8,-1166.3999999999987
46,-1072.5,-1103.9999999999964
47,-1073.7,-1131.5999999999974
48,-1074.5,-1108.7999999999965
49,-1074.0,-1049.9999999999943
50,-1074.0,-1075.1999999999953
51,-1074.6,-1105.1999999999964
52,-1075.7,-1132.7999999999975
53,-1077.6,-1173.599999999999
54,-1077.4,-1069.199999999995
55,-1077.2,-1064.3999999999949
56,-1078.1,-1126.7999999999972
57,-1079.2,-1143.5999999999979
58,-1077.0,-951.5999999999906
59,-1078.1,-1139.9999999999977
60,-1077.2,-1027.1999999999935
61,-1078.9,-1175.999999999999
62,-1079.1,-1091.999999999996
63,-1080.1,-1144.799999999998
64,-1080.4,-1096.799999999996
65,-1081.7,-1168.7999999999988
66,-1081.5,-1067.999999999995
67,-1082.5,-1145.999999999998
68,-1081.7,-1030.7999999999936
69,-1081.6,-1071.5999999999951
70,-1081.1,-1051.1999999999944
71,-1081.3,-1089.5999999999958
72,-1082.2,-1151.9999999999982
73,-1083.3,-1160.3999999999985
74,-1083.7,-1112.3999999999967
75,-1083.5,-1064.3999999999949
76,-1083.5,-1088.3999999999958
77,-1084.8,-1183.1999999999994
78,-1085.7,-1156.7999999999984
79,-1085.9,-1099.1999999999962
80,-1086.5,-1131.5999999999974
81,-1086.9,-1117.1999999999969
82,-1087.2,-1113.5999999999967
83,-1087.7,-1127.9999999999973
84,-1088.7,-1169.9999999999989
85,-1089.4,-1153.1999999999982
86,-1089.3,-1078.7999999999954
87,-1089.1,-1071.5999999999951
88,-1089.3,-1108.7999999999965
89,-1089.3,-1088.3999999999958
90,-1089.2,-1082.3999999999955
91,-1089.4,-1101.5999999999963
92,-1089.9,-1142.3999999999978
93,-1089.9,-1083.5999999999956
94,-1089.8,-1083.5999999999956
95,-1088.3,-949.1999999999905
96,-1088.4,-1095.599999999996
97,-1086.7,-925.1999999999896
98,-1087.7,-1184.3999999999994
99,-1087.7,-1083.5999999999956
100,-1087.6,-1083.5999999999956
101,-1087.6,-1121.999999999997
102,-1091.1,-1153.1999999999982
103,-1093.6,-1151.9999999999982
104,-1092.4,-1063.1999999999948
105,-1093.9,-1141.1999999999978
106,-1093.0,-1091.999999999996
107,-1092.9,-1103.9999999999964
108,-1093.4,-1147.199999999998
109,-1094.0,-1143.5999999999979
110,-1095.4,-1018.7999999999931
111,-1095.9,-1149.599999999998
112,-1097.7,-1127.9999999999973
113,-1098.9,-1078.7999999999954
114,-1100.0,-1133.9999999999975
115,-1098.7,-1051.1999999999944
116,-1098.2,-883.199999999988
117,-1098.5,-1169.9999999999989
118,-1097.7,-1065.599999999995
119,-1097.2,-1106.3999999999965
120,-1098.2,-1139.9999999999977
121,-1097.6,-1089.5999999999958
122,-1097.4,-1118.399999999997
123,-1098.5,-1178.3999999999992
124,-1098.6,-1148.399999999998
