episode,reward
1,-1175.999999999999
2,-1109.9999999999966
3,-1113.1999999999969
4,-1096.4999999999961
5,-1072.7999999999952
6,-1076.1999999999955
7,-1074.8571428571381
8,-1083.4499999999955
9,-1076.2666666666619
10,-1076.2799999999954
11,-1081.854545454541
12,-1074.6999999999953
13,-1081.5692307692264
14,-1082.228571428567
15,-1079.5999999999954
16,-1073.4749999999954
17,-1075.62352941176
18,-1075.9999999999955
19,-1073.2421052631532
20,-1071.1199999999951
21,-1075.771428571424
22,-1076.236363636359
23,-1071.7565217391257
24,-1072.449999999995
25,-1072.6079999999952
26,-1075.9846153846106
27,-1073.1111111111063
28,-1071.5142857142807
29,-1071.186206896547
30,-1068.959999999995
31,-1067.0709677419304
32,-1066.5749999999948
33,-1068.7272727272677
34,-1069.4470588235245
35,-1072.1828571428523
36,-1071.6666666666615
37,-1073.0594594594545
38,-1073.3052631578896
39,-1074.646153846149
40,-1074.5399999999952
41,-1073.707317073166
42,-1075.1428571428526
43,-1073.5813953488325
44,-1074.54545454545
45,-1076.133333333329
46,-1074.0782608695606
47,-1073.2851063829742
48,-1074.8499999999951
49,-1074.4163265306074
50,-1076.351999999995
51,-1078.2352941176423
52,-1078.892307692303
53,-1080.113207547165
54,-1081.3333333333287
55,-1082.4436363636319
56,-1082.6357142857098
57,-1082.5684210526272
58,-1083.6827586206853
59,-1079.6338983050803
60,-1078.9199999999955
61,-1076.4196721311428
62,-1077.619354838705
63,-1078.5904761904717
64,-1078.5749999999953
65,-1078.2461538461491
66,-1077.3272727272679
67,-1078.2805970149207
68,-1078.9941176470543
69,-1079.634782608691
70,-1080.874285714281
71,-1081.9436619718265
72,-1082.4999999999955
73,-1083.2547945205433
74,-1083.79459459459
75,-1084.2719999999954
76,-1085.5263157894692
77,-1085.9999999999957
78,-1083.4461538461494
79,-1084.070886075945
80,-1084.5899999999956
81,-1085.1111111111068
82,-1084.0682926829224
83,-1084.29397590361
84,-1084.0428571428529
85,-1081.1105882352897
86,-1081.4465116279027
87,-1082.1057471264326
88,-1081.986363636359
89,-1081.3651685393215
90,-1081.4699999999957
91,-1081.7175824175781
92,-1082.2728260869524
93,-1082.7645161290282
94,-1080.9351063829745
95,-1081.3799999999958
96,-1080.6281249999954
97,-1081.227835051542
98,-1080.8357142857096
99,-1081.893939393935
100,-1082.2829999999956
101,-1081.2869999999957
102,-1082.4029999999955
103,-1081.6469999999956
104,-1081.8989999999953
105,-1083.9389999999955
106,-1083.3629999999955
107,-1083.2789999999957
108,-1081.7309999999954
109,-1082.2829999999956
110,-1082.3669999999954
111,-1082.1389999999953
112,-1083.5429999999956
113,-1083.6389999999958
114,-1083.8189999999959
115,-1084.8269999999957
116,-1085.3189999999956
117,-1085.1749999999954
118,-1085.5229999999956
119,-1084.9829999999956
120,-1085.6429999999957
121,-1084.1549999999959
122,-1084.8509999999958
123,-1085.7509999999959
124,-1084.7429999999956
125,-1084.0949999999957
126,-1083.6989999999957
127,-1085.0789999999956
128,-1084.2629999999956
129,-1085.2589999999955
130,-1086.7469999999955
131,-1088.018999999996
132,-1088.0189999999957
133,-1088.0789999999956
134,-1088.0909999999958
135,-1086.4349999999959
136,-1086.6869999999956
137,-1086.0869999999957
138,-1085.7389999999955
139,-1085.6909999999955
140,-1086.6749999999959
141,-1086.9749999999958
142,-1086.1949999999958
143,-1087.1669999999958
144,-1086.758999999996
145,-1086.710999999996
146,-1087.7549999999958
147,-1088.0909999999958
148,-1088.1029999999957
149,-1088.5229999999958
150,-1087.9829999999956
151,-1086.5669999999957
152,-1086.8189999999956
153,-1086.8069999999957
154,-1085.5829999999955
155,-1085.7989999999957
156,-1086.2309999999957
157,-1085.0789999999956
158,-1084.4909999999957
159,-1085.0069999999955
160,-1085.0309999999959
161,-1087.286999999996
162,-1086.866999999996
163,-1086.3509999999958
164,-1086.4349999999959
165,-1087.0589999999956
166,-1088.0669999999957
167,-1087.9349999999959
168,-1087.8749999999957
169,-1087.0589999999959
170,-1085.3189999999959
171,-1084.4069999999956
172,-1084.2869999999957
173,-1083.9749999999958
174,-1084.5149999999956
175,-1083.8309999999956
176,-1083.1949999999956
