episode,timestep,reward
2,2000,-35.0667
4,4000,161.0583
7,6000,-42.5111
9,8000,-34.5333
12,10000,-37.8222
14,12000,-43.4333
17,14000,-40.2889
19,16000,133.0583
22,18000,-45.9889
24,20000,6.05
27,22000,-48.75
29,24000,-25.45
32,26000,-53.4944
34,28000,126.875
37,30000,-43.2556
39,32000,120.725
42,34000,66.0
44,36000,92.0917
47,38000,-29.3556
49,40000,83.8
52,42000,-45.1333
54,44000,-57.975
57,46000,39.5833
59,48000,-32.8
62,50000,-40.7667
64,52000,-22.4667
67,54000,59.0333
69,56000,-40.0083
72,58000,-34.5833
74,60000,-32.3333
77,62000,-38.8278
79,64000,-33.9333
82,66000,-35.0056
84,68000,-32.675
87,70000,-41.45
89,72000,-40.1667
92,74000,81.1333
94,76000,-35.45
97,78000,60.8556
99,80000,-28.1583
102,82000,-44.8944
104,84000,-41.6917
107,86000,-28.3944
109,88000,119.1
112,90000,-31.4278
114,92000,-53.1333
117,94000,-49.65
119,96000,117.4667
122,98000,-41.8889
124,100000,-55.9667
127,102000,-48.6389
129,104000,-44.6
