episode,total_reward,reward
1,-935.2,-935.2
2,-360.2,-647.7
3,-529.9,-608.5
4,-804.2,-657.4
5,-684.4,-662.8
6,-1216.2,-755.0
7,-661.7,-741.7
8,-666.6,-732.3
9,-852.2,-745.6
10,-660.4,-737.1
11,-578.8,-722.7
12,-949.5,-741.6
13,-619.5,-732.2
14,-939.4,-747.0
15,-856.9,-754.4
16,-1095.0,-775.6
17,-721.9,-772.5
18,-502.1,-757.5
19,-380.8,-737.6
20,87.0,-696.4
21,-258.9,-675.6
22,-650.5,-674.4
23,-374.6,-661.4
24,-417.5,-651.2
25,-755.4,-655.4
26,-797.6,-660.9
27,-640.3,-660.1
28,-677.9,-660.7
29,-873.5,-668.1
30,-769.7,-671.5
31,-1047.8,-683.6
32,-232.0,-669.5
33,-1159.5,-684.3
34,-1039.5,-694.8
35,-918.4,-701.2
36,-1131.6,-713.1
37,-1379.5,-731.1
38,-1481.6,-750.9
39,-629.5,-747.8
40,-992.0,-753.9
41,-502.4,-747.7
42,-1016.7,-754.2
43,-680.1,-752.4
44,-735.5,-752.0
45,-958.5,-756.6
46,-749.3,-756.5
47,-1251.5,-767.0
48,-804.4,-767.8
49,-869.1,-769.9
50,-819.2,-770.8
51,-714.7,-769.7
52,-855.3,-771.4
53,-625.3,-768.6
54,-1095.9,-774.7
55,-833.9,-775.8
56,-962.1,-779.1
57,-490.4,-774.0
58,-419.9,-767.9
59,-886.2,-769.9
60,-761.9,-769.8
61,-968.8,-773.1
62,-419.3,-767.4
63,-677.9,-765.9
64,-559.7,-762.7
65,-71.8,-752.1
66,-1445.8,-762.6
67,-474.8,-758.3
68,-835.5,-759.4
69,-549.8,-756.4
70,-597.3,-754.1
71,-819.2,-755.0
72,-693.7,-754.2
73,-604.6,-752.1
74,-692.7,-751.3
75,-817.6,-752.2
76,-1046.1,-756.1
77,-304.4,-750.2
78,-455.3,-746.4
79,-515.3,-743.5
80,-693.2,-742.9
81,-715.6,-742.5
82,-880.9,-744.2
83,-624.5,-742.8
84,-786.4,-743.3
85,-926.5,-745.5
86,-834.0,-746.5
87,-750.5,-746.5
88,-928.2,-748.6
89,-711.8,-748.2
90,-52.1,-740.5
91,-442.1,-737.2
92,-174.5,-731.1
