episode,timestep,reward
2,2000,-175.3333
4,4000,-164.8667
7,6000,-184.0444
9,8000,-166.4
12,10000,-145.5111
14,12000,-153.0667
17,14000,-157.1111
19,16000,-157.3333
22,18000,-191.0222
24,20000,-139.8667
27,22000,-144.4667
29,24000,-138.7333
32,26000,-112.8
34,28000,-122.7
37,30000,-143.6889
39,32000,-178.2667
42,34000,-120.5333
44,36000,-138.0667
47,38000,-128.1778
49,40000,-137.9333
52,42000,-109.3333
54,44000,-106.8
57,46000,-105.7333
59,48000,-144.0667
62,50000,-80.5333
64,52000,-95.9333
67,54000,-46.7333
69,56000,-113.6667
72,58000,-119.6222
74,60000,-104.8667
77,62000,-85.7556
79,64000,-182.7333
82,66000,-141.0667
84,68000,-68.3667
87,70000,-154.1333
89,72000,-161.6667
92,74000,-113.1556
94,76000,-166.2
97,78000,-101.9556
99,80000,-89.6667
102,82000,-65.4889
104,84000,-130.4667
107,86000,-91.8
109,88000,-106.2
112,90000,-104.4667
114,92000,-7.8667
117,94000,-119.4222
119,96000,-74.2667
122,98000,-114.0444
124,100000,-111.6
127,102000,-73.4222
129,104000,-171.1333
132,106000,-76.8
134,108000,-130.6
137,110000,-99.1556
139,112000,-91.6667
142,114000,-91.5778
144,116000,-130.0
147,118000,-97.4889
149,120000,-151.3333
152,122000,-181.7778
154,124000,-74.0333
157,126000,-92.5111
159,128000,-180.4667
162,130000,-117.1556
164,132000,-167.6667
167,134000,-113.0667
169,136000,-149.2
172,138000,-88.8444
174,140000,-123.0
177,142000,-75.0222
179,144000,-142.6333
182,146000,-77.6889
184,148000,-65.4
187,150000,-52.8444
189,152000,-85.5333
192,154000,-82.4889
194,156000,-139.2667
197,158000,-152.2222
199,160000,-119.0
202,162000,-115.8667
204,164000,-82.0
207,166000,-103.7333
