episode,timestep,reward
2,2000,-63.2333
4,4000,-69.1333
7,6000,-109.2444
9,8000,-60.5667
12,10000,-95.7333
14,12000,-133.8
17,14000,-51.0667
19,16000,-26.2667
22,18000,-135.8667
24,20000,25.3333
27,22000,-42.5778
29,24000,-243.7333
32,26000,-86.6
34,28000,-150.2667
37,30000,-62.3333
39,32000,-37.1333
42,34000,-67.2444
44,36000,-164.2667
47,38000,-134.5333
49,40000,-79.2667
52,42000,-78.0444
54,44000,-185.2667
57,46000,-57.8667
59,48000,-53.8667
62,50000,-102.1333
64,52000,63.1333
67,54000,-151.9111
69,56000,-80.1333
72,58000,-84.3556
74,60000,-152.4667
77,62000,-56.5778
79,64000,-172.2
82,66000,-136.2
84,68000,-54.4667
87,70000,-18.9778
89,72000,-153.1
92,74000,-101.8667
94,76000,-32.4667
97,78000,-50.4444
99,80000,-4.9333
102,82000,-20.2222
104,84000,-148.4667
107,86000,-68.6667
109,88000,-74.8667
112,90000,-35.8222
114,92000,-28.4667
117,94000,-68.9778
119,96000,-168.0
122,98000,-73.2889
124,100000,-77.7667
127,102000,-118.6222
129,104000,-50.8667
132,106000,-144.3556
134,108000,-93.3333
137,110000,-68.3111
139,112000,-122.4
142,114000,-38.3111
144,116000,-20.0
147,118000,-146.5778
149,120000,-44.3333
152,122000,-100.6
154,124000,-100.4667
157,126000,2.4889
159,128000,-140.9667
162,130000,-51.0444
164,132000,17.5333
167,134000,-138.1111
169,136000,-36.2667
172,138000,-162.7111
174,140000,-198.4667
177,142000,-65.4222
179,144000,-209.3333
182,146000,-68.0889
184,148000,-183.5333
187,150000,-47.0222
189,152000,-82.6
192,154000,23.5556
194,156000,-10.6
197,158000,-173.9556
199,160000,-174.6
202,162000,-91.6444
204,164000,-148.6
207,166000,-67.2889
209,168000,-46.8333
212,170000,-112.8444
214,172000,-168.4667
217,174000,-145.7556
219,176000,-130.5667
222,178000,-20.0
224,180000,-20.3333
227,182000,-16.6222
229,184000,-121.6
232,186000,-72.3778
234,188000,-33.9
237,190000,-74.1333
239,192000,-98.6333
242,194000,-25.0222
244,196000,-113.2
247,198000,-69.7333
