episode,timestep,reward
2,2000,-66.2667
4,4000,-118.6
7,6000,-147.8222
9,8000,-95.4
12,10000,-66.6
14,12000,-84.8667
17,14000,-1.4889
19,16000,-102.9667
22,18000,-143.9556
24,20000,-63.0333
27,22000,-143.3333
29,24000,-156.2
32,26000,-79.2
34,28000,-45.6667
37,30000,-77.0667
39,32000,-230.6667
42,34000,-142.3556
44,36000,49.3
47,38000,-103.8222
49,40000,-144.0667
52,42000,-22.9778
54,44000,-115.8
57,46000,-92.3111
59,48000,-176.8
62,50000,-85.6667
64,52000,-164.7333
67,54000,-117.2444
69,56000,-88.7333
72,58000,-37.2667
74,60000,-148.9333
77,62000,-96.8667
79,64000,-67.6
82,66000,-171.2444
84,68000,-144.4
87,70000,-141.7556
89,72000,-117.9
92,74000,-183.9111
94,76000,-165.0
97,78000,-186.7556
99,80000,-38.0667
102,82000,-74.0
104,84000,-87.2667
107,86000,-108.4
109,88000,-92.4
112,90000,-146.5333
114,92000,-35.7667
117,94000,-59.8222
119,96000,-56.1333
122,98000,-145.2
124,100000,-89.1333
127,102000,-106.9778
129,104000,-109.8
132,106000,-107.9556
134,108000,58.2
137,110000,-154.3111
139,112000,-70.4667
142,114000,-143.8222
144,116000,-192.1
147,118000,-96.5778
149,120000,-79.1333
152,122000,-170.3556
154,124000,-156.5333
157,126000,-204.2667
159,128000,-102.7667
162,130000,-92.9778
164,132000,-119.6667
167,134000,-22.5778
169,136000,-19.2
172,138000,-82.9111
174,140000,33.2
177,142000,-79.8667
179,144000,-146.7333
182,146000,-98.7556
184,148000,-1.3333
187,150000,-129.5778
189,152000,-67.0
192,154000,-91.4444
194,156000,-132.0333
197,158000,-44.2222
199,160000,-123.4
202,162000,-106.6667
204,164000,-121.2667
207,166000,-194.6667
209,168000,-123.1333
212,170000,-98.6444
214,172000,-203.6
217,174000,-164.2222
219,176000,-170.3333
222,178000,-80.0667
224,180000,-39.4
227,182000,-180.1556
229,184000,-144.6667
232,186000,-47.3556
234,188000,-54.9
237,190000,-58.1333
239,192000,-205.5333
242,194000,-100.8444
244,196000,-100.4667
