episode,timestep,reward
4,4000,-337.0
9,8000,-329.2
14,12000,-322.72
19,16000,-326.32
24,20000,-345.52
29,24000,-333.76
34,28000,-317.44
39,32000,-327.04
44,36000,-327.76
49,40000,-323.92
54,44000,-326.32
59,48000,-334.0
64,52000,-344.32
69,56000,-326.8
74,60000,-334.48
79,64000,-327.76
84,68000,-333.52
89,72000,-338.8
94,76000,-335.92
99,80000,-339.76
104,84000,-327.04
109,88000,-317.2
114,92000,-344.56
119,96000,-330.64
124,100000,-319.84
129,104000,-337.36
134,108000,-349.12
139,112000,-334.24
144,116000,-334.72
149,120000,-336.16
154,124000,-348.88
159,128000,-325.12
164,132000,-347.68
169,136000,-323.44
174,140000,-359.44
179,144000,-325.36
184,148000,-320.8
189,152000,-314.08
194,156000,-335.2
