episode,timestep,reward
4,4000,-366.4
9,8000,-370.0
14,12000,-362.56
19,16000,-373.12
24,20000,-366.88
29,24000,-367.84
34,28000,-378.4
39,32000,-370.48
44,36000,-369.28
49,40000,-364.72
54,44000,-369.04
59,48000,-373.84
64,52000,-369.04
69,56000,-368.32
74,60000,-371.44
79,64000,-370.96
84,68000,-363.52
89,72000,-364.48
94,76000,-355.36
99,80000,-363.76
104,84000,-369.76
109,88000,-368.08
114,92000,-358.0
119,96000,-376.48
124,100000,-368.8
129,104000,-370.48
134,108000,-374.08
139,112000,-360.4
144,116000,-370.48
149,120000,-371.2
154,124000,-367.36
159,128000,-366.4
164,132000,-353.44
169,136000,-370.48
174,140000,-356.8
179,144000,-362.32
184,148000,-363.76
189,152000,-364.96
194,156000,-363.76
