episode,timestep,reward
4,4000,-334.3
9,8000,-349.36
14,12000,-362.8
19,16000,-348.16
24,20000,-360.64
29,24000,-368.08
34,28000,-362.56
39,32000,-351.04
44,36000,-363.28
49,40000,-351.04
54,44000,-356.56
59,48000,-356.8
64,52000,-339.76
69,56000,-357.04
74,60000,-346.24
79,64000,-348.88
84,68000,-350.8
89,72000,-349.6
94,76000,-358.96
99,80000,-354.16
104,84000,-361.12
109,88000,-350.32
114,92000,-359.2
119,96000,-349.36
124,100000,-347.92
129,104000,-350.32
134,108000,-363.28
139,112000,-345.76
144,116000,-348.88
149,120000,-343.6
154,124000,-338.08
159,128000,-356.32
164,132000,-347.68
169,136000,-358.0
174,140000,-331.36
179,144000,-346.48
184,148000,-337.6
189,152000,-336.16
194,156000,-347.44
199,160000,-347.44
204,164000,-347.2
209,168000,-356.8
214,172000,-337.84
219,176000,-347.2
224,180000,-334.24
229,184000,-347.92
