episode,timestep,reward
4,4000,-351.4
9,8000,-368.32
14,12000,-351.28
19,16000,-369.28
24,20000,-372.64
29,24000,-366.4
34,28000,-350.32
39,32000,-359.92
44,36000,-364.96
49,40000,-363.76
54,44000,-360.4
59,48000,-363.52
64,52000,-356.56
69,56000,-365.2
74,60000,-366.16
79,64000,-366.4
84,68000,-362.8
89,72000,-343.6
94,76000,-365.2
99,80000,-364.24
104,84000,-367.36
109,88000,-367.84
114,92000,-358.48
119,96000,-361.6
124,100000,-362.56
129,104000,-355.6
134,108000,-370.96
139,112000,-354.4
144,116000,-375.52
149,120000,-363.28
154,124000,-353.68
159,128000,-356.32
164,132000,-359.68
169,136000,-348.64
174,140000,-361.84
179,144000,-363.76
184,148000,-355.6
189,152000,-356.56
