episode,timestep,reward
2,2000,-106.5167
4,4000,-94.4333
7,6000,-105.8111
9,8000,-109.95
12,10000,-93.9778
14,12000,-91.5833
17,14000,86.4889
19,16000,27.7333
22,18000,-4.7778
24,20000,-95.2833
27,22000,-93.8222
29,24000,-120.6667
32,26000,126.0333
34,28000,-107.0333
37,30000,-9.0889
39,32000,240.2833
42,34000,-3.7111
44,36000,-125.4167
47,38000,108.6333
49,40000,-106.05
52,42000,-112.1667
54,44000,60.45
57,46000,106.2222
59,48000,-113.75
62,50000,-114.6333
64,52000,-132.35
67,54000,-132.7556
69,56000,55.8667
72,58000,8.6111
74,60000,-113.1333
77,62000,6.1556
79,64000,48.8167
82,66000,-6.1444
84,68000,61.2
87,70000,3.3556
89,72000,-107.4
92,74000,-104.7222
94,76000,35.1167
97,78000,-113.6778
99,80000,63.7833
102,82000,-115.4444
104,84000,32.9333
107,86000,100.8111
109,88000,-23.6167
112,90000,-7.5111
114,92000,-121.2667
117,94000,-109.1111
119,96000,-121.1333
122,98000,103.7556
124,100000,-136.6667
127,102000,-9.8556
129,104000,22.35
132,106000,-3.5556
134,108000,36.7167
137,110000,-123.2889
139,112000,37.8667
142,114000,-134.5778
144,116000,157.7167
147,118000,92.2667
149,120000,-145.2
152,122000,-11.4778
154,124000,22.05
157,126000,-21.4333
159,128000,-126.4667
162,130000,-18.3333
164,132000,-124.2333
167,134000,-5.8444
